NAxe	NTrace	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	prj_tdc	leve	product	NomTDC[itdc]	Nbcoup
1	1	827519.874	6261215.288	-0.559	-0.829	-1.095	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	2	827602.011	6261158.289	-0.59	-0.808	1.536	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	3	827682.799	6261099.356	-0.592	-0.806	-2.178	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	4	827761.731	6261038.56	-0.608	-0.794	0.969	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	5	827823.912	6260960.284	-0.79	-0.613	-20.443	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	6	827884.822	6260880.978	-0.798	-0.603	-42.328	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	7	827944.634	6260800.839	-0.805	-0.593	-59.306	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	8	828003.911	6260720.302	-0.813	-0.582	-78.742	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	9	828062.081	6260638.961	-0.813	-0.582	-94.816	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	10	828118.775	6260556.587	-0.823	-0.569	-108.23	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	11	828175.412	6260474.171	-0.824	-0.566	-120.619	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	12	828230.644	6260390.819	-0.839	-0.544	-136.592	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	13	828286.269	6260307.783	-0.806	-0.592	-142.076	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	13	828286.269	6260307.783	-0.806	-0.592	144.364	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	14	828343.817	6260226.003	-0.818	-0.575	-149.08	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	14	828343.817	6260226.003	-0.818	-0.575	141.22	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	15	828396.828	6260141.229	-0.852	-0.524	-148.472	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	15	828396.828	6260141.229	-0.852	-0.524	141.284	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	16	828448.593	6260055.67	-0.856	-0.517	-145.785	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	16	828448.593	6260055.67	-0.856	-0.517	139.979	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	17	828498.351	6259968.984	-0.894	-0.448	-142.393	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	17	828498.351	6259968.984	-0.894	-0.448	143.123	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	18	828543.138	6259879.574	-0.894	-0.448	-137.614	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	18	828543.138	6259879.574	-0.894	-0.448	134.203	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	19	828586.485	6259789.483	-0.914	-0.405	-134.573	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	19	828586.485	6259789.483	-0.914	-0.405	133.397	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	20	828627.007	6259698.061	-0.914	-0.405	-133.91	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	20	828627.007	6259698.061	-0.914	-0.405	121.906	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	21	828666.04	6259605.997	-0.922	-0.386	-127.528	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	21	828666.04	6259605.997	-0.922	-0.386	124.295	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	22	828704.022	6259513.5	-0.934	-0.356	-124.071	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	22	828704.022	6259513.5	-0.934	-0.356	128.133	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	23	828739.667	6259420.069	-0.934	-0.358	-122.702	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	23	828739.667	6259420.069	-0.934	-0.358	127.818	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	24	828774.789	6259326.439	-0.937	-0.35	-121.815	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	24	828774.789	6259326.439	-0.937	-0.35	128.06	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	25	828810.804	6259233.154	-0.93	-0.369	-122.951	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	25	828810.804	6259233.154	-0.93	-0.369	123.511	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	26	828846.451	6259139.728	-0.937	-0.35	-125.781	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	26	828846.451	6259139.728	-0.937	-0.35	117.997	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	27	828881.366	6259046.022	-0.94	-0.342	-126.879	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	27	828881.366	6259046.022	-0.94	-0.342	121.82	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	28	828914.419	6258951.657	-0.952	-0.306	-126.119	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	28	828914.419	6258951.657	-0.952	-0.306	122.269	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	29	828945.026	6258856.457	-0.952	-0.306	-129.67	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	29	828945.026	6258856.457	-0.952	-0.306	126.49	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	30	828974.409	6258760.883	-0.97	-0.241	-132.819	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	30	828974.409	6258760.883	-0.97	-0.241	135.255	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	31	828998.435	6258663.812	-0.971	-0.24	-143.804	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	31	828998.435	6258663.812	-0.971	-0.24	127.906	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	32	829022.113	6258566.659	-0.976	-0.219	-148.541	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	32	829022.113	6258566.659	-0.976	-0.219	128.035	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	33	829044.047	6258469.094	-0.976	-0.219	-155.048	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	33	829044.047	6258469.094	-0.976	-0.219	123.316	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	34	829066.196	6258371.58	-0.969	-0.246	160.437	20160702160954	20160702161126	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	34	829066.196	6258371.58	-0.969	-0.246	170.825	20160702161301	20160702161444	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	34	829066.196	6258371.58	-0.969	-0.246	-160.522	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	34	829066.196	6258371.58	-0.969	-0.246	123.294	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	35	829087.668	6258273.914	-0.977	-0.213	165.237	20160702160639	20160702160921	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	35	829087.668	6258273.914	-0.977	-0.213	170.153	20160702161449	20160702161633	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	35	829087.668	6258273.914	-0.977	-0.213	-173.218	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	35	829087.668	6258273.914	-0.977	-0.213	125.418	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	36	829108.963	6258176.208	-0.977	-0.213	174.201	20160702160639	20160702160921	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	36	829108.963	6258176.208	-0.977	-0.213	177.565	20160702161449	20160702161633	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	36	829108.963	6258176.208	-0.977	-0.213	-185.504	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	36	829108.963	6258176.208	-0.977	-0.213	128.532	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	37	829130.258	6258078.502	-0.977	-0.213	191.195	20160702160639	20160702160921	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	37	829130.258	6258078.502	-0.977	-0.213	-194.928	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	37	829130.258	6258078.502	-0.977	-0.213	138.017	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	38	829143.234	6257979.465	-0.996	-0.085	198.017	20160702160036	20160702160621	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	38	829143.234	6257979.465	-0.996	-0.085	204.54	20160702161753	20160702162002	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	38	829143.234	6257979.465	-0.996	-0.085	-218.966	1942	0	3	50	L93	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	38	829143.234	6257979.465	-0.996	-0.085	136.802	201109	201110	3	10	L93	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	39	829151.728	6257879.826	-0.996	-0.085	210.446	20160702160036	20160702160621	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
1	39	829151.728	6257879.826	-0.996	-0.085	209.726	20160702162005	20160702162221	3	15	L93	LEV	RIVAGES	Rivages_Segments_MobiTC_Retenus	1
