NAxe	NTrace	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	13	828286.269	6260307.783	-0.806	-0.592	0.788	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	14	828343.817	6260226.003	-0.818	-0.575	0.761	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	15	828396.828	6260141.229	-0.852	-0.524	0.684	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	16	828448.593	6260055.67	-0.856	-0.517	0.674	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	17	828498.351	6259968.984	-0.894	-0.448	0.577	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	18	828543.138	6259879.574	-0.894	-0.448	0.577	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	19	828586.485	6259789.483	-0.914	-0.405	0.52	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	20	828627.007	6259698.061	-0.914	-0.405	0.52	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	21	828666.04	6259605.997	-0.922	-0.386	0.495	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	22	828704.022	6259513.5	-0.934	-0.356	0.455	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	23	828739.667	6259420.069	-0.934	-0.358	0.458	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	24	828774.789	6259326.439	-0.937	-0.35	0.447	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	25	828810.804	6259233.154	-0.93	-0.369	0.472	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	26	828846.451	6259139.728	-0.937	-0.35	0.447	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	27	828881.366	6259046.022	-0.94	-0.342	0.437	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	28	828914.419	6258951.657	-0.952	-0.306	0.39	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	29	828945.026	6258856.457	-0.952	-0.306	0.39	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	30	828974.409	6258760.883	-0.97	-0.241	0.307	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	31	828998.435	6258663.812	-0.971	-0.24	0.306	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	32	829022.113	6258566.659	-0.976	-0.219	0.279	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	33	829044.047	6258469.094	-0.976	-0.219	0.279	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	34	829066.196	6258371.58	-0.969	-0.246	0.313	3	4.757	47.531	2011-09-30	2016-07-02	3	9.99	8.9	8.9	8.9	9.26	8.9	NA	2	8.9	NA	Cerema	2020-06-23
1	35	829087.668	6258273.914	-0.977	-0.213	0.271	3	4.758	44.735	2011-09-30	2016-07-02	3	9.4	112180.3	8.89	8.89	9.06	8.89	112180.3	2	8.89	NA	Cerema	2020-06-23
1	36	829108.963	6258176.208	-0.977	-0.213	0.271	3	4.758	49.033	2011-09-30	2016-07-02	3	10.31	76767.13	9.95	9.95	10.07	9.95	76767.13	2	9.95	NA	Cerema	2020-06-23
1	37	829130.258	6258078.502	-0.977	-0.213	0.271	2	4.757	53.178	2011-09-30	2016-07-02	3	11.18	11.18	11.18	11.18	11.18	11.18	NA	2	11.18	NA	Cerema	2020-06-23
1	38	829143.234	6257979.465	-0.996	-0.085	0.108	3	4.758	67.738	2011-09-30	2016-07-02	3	14.24	73869.9	13.55	13.55	13.78	13.55	73869.9	2	13.55	NA	Cerema	2020-06-23
1	39	829151.728	6257879.826	-0.996	-0.085	0.108	3	4.758	68.359	2011-09-30	2016-07-02	3	14.22	-7105.38	14.29	14.29	14.27	14.29	-7105.38	2	14.29	NA	Cerema	2020-06-23
1	40	829159.009	6257780.1	-0.998	-0.059	0.075	3	4.758	78.336	2011-09-30	2016-07-02	3	16.47	43777.26	16	16	16.16	16	43777.26	2	16	NA	Cerema	2020-06-23
1	41	829164.525	6257680.252	-0.998	-0.055	0.07	3	4.758	94.612	2011-09-30	2016-07-02	3	19.73	-6559.68	19.81	19.81	19.78	19.81	-6559.68	2	19.81	NA	Cerema	2020-06-23
1	42	829163.416	6257580.282	-1	0.024	-0.031	2	4.758	98.427	2011-09-30	2016-07-02	3	20.69	20.69	20.69	20.69	20.69	20.69	NA	2	20.69	NA	Cerema	2020-06-23
1	43	829158.243	6257480.489	-0.988	0.154	-0.196	3	4.758	115.996	2011-09-30	2016-07-02	3	24.38	7340.5	24.28	24.28	24.31	24.28	7340.5	2	24.28	NA	Cerema	2020-06-23
1	44	829134.11	6257383.568	-0.953	0.304	-0.388	3	4.758	124.768	2011-09-30	2016-07-02	3	25.63	-17592.09	25.93	25.93	25.83	25.93	-17592.08	2	25.93	NA	Cerema	2020-06-23
1	45	829103.664	6257288.316	-0.953	0.305	-0.389	3	4.758	108.445	2011-09-30	2016-07-02	3	21.93	-25442.86	22.36	22.36	22.22	22.36	-25442.86	2	22.36	NA	Cerema	2020-06-23
1	46	829070.547	6257194.036	-0.925	0.379	-0.485	2	4.757	99.558	2011-09-30	2016-07-02	3	20.93	20.93	20.93	20.93	20.93	20.93	NA	2	20.93	NA	Cerema	2020-06-23
1	47	829032.652	6257101.494	-0.925	0.379	-0.485	2	4.757	84.217	2011-09-30	2016-07-02	3	17.7	17.7	17.7	17.7	17.7	17.7	NA	2	17.7	NA	Cerema	2020-06-23
1	48	828994.756	6257008.953	-0.925	0.379	-0.485	2	4.757	49.747	2011-09-30	2016-07-02	3	10.46	10.46	10.46	10.46	10.46	10.46	NA	2	10.46	NA	Cerema	2020-06-23
1	49	828956.861	6256916.411	-0.925	0.379	-0.485	2	4.757	16.401	2011-09-30	2016-07-02	3	3.45	3.45	3.45	3.45	3.45	3.45	NA	2	3.45	NA	Cerema	2020-06-23
