NAxe	NTrace	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	1	827519.874	6261215.288	-0.559	-0.829	1.358	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	2	827602.011	6261158.289	-0.59	-0.808	1.275	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	3	827682.799	6261099.356	-0.592	-0.806	1.269	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	4	827761.731	6261038.56	-0.608	-0.794	1.228	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	5	827823.912	6260960.284	-0.79	-0.613	0.822	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	6	827884.822	6260880.978	-0.798	-0.603	0.806	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	7	827944.634	6260800.839	-0.805	-0.593	0.79	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	8	828003.911	6260720.302	-0.813	-0.582	0.772	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	9	828062.081	6260638.961	-0.813	-0.582	0.772	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	10	828118.775	6260556.587	-0.823	-0.569	0.751	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	11	828175.412	6260474.171	-0.824	-0.566	0.747	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	12	828230.644	6260390.819	-0.839	-0.544	0.714	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-06-23
1	13	828286.269	6260307.783	-0.806	-0.592	0.788	2	69.248	286.44	1942-07-01	2011-09-30	3	4.14	4.14	4.14	4.14	4.14	4.14	NA	2	4.14	NA	Cerema	2020-06-23
1	14	828343.817	6260226.003	-0.818	-0.575	0.761	2	69.248	290.3	1942-07-01	2011-09-30	3	4.19	4.19	4.19	4.19	4.19	4.19	NA	2	4.19	NA	Cerema	2020-06-23
1	15	828396.828	6260141.229	-0.852	-0.524	0.684	2	69.248	289.756	1942-07-01	2011-09-30	3	4.18	4.18	4.18	4.18	4.18	4.18	NA	2	4.18	NA	Cerema	2020-06-23
1	16	828448.593	6260055.67	-0.856	-0.517	0.674	2	69.248	285.764	1942-07-01	2011-09-30	3	4.13	4.13	4.13	4.13	4.13	4.13	NA	2	4.13	NA	Cerema	2020-06-23
1	17	828498.351	6259968.984	-0.894	-0.448	0.577	2	69.248	285.516	1942-07-01	2011-09-30	3	4.12	4.12	4.12	4.12	4.12	4.12	NA	2	4.12	NA	Cerema	2020-06-23
1	18	828543.138	6259879.574	-0.894	-0.448	0.577	2	69.248	271.817	1942-07-01	2011-09-30	3	3.93	3.93	3.93	3.93	3.93	3.93	NA	2	3.93	NA	Cerema	2020-06-23
1	19	828586.485	6259789.483	-0.914	-0.405	0.52	2	69.248	267.97	1942-07-01	2011-09-30	3	3.87	3.87	3.87	3.87	3.87	3.87	NA	2	3.87	NA	Cerema	2020-06-23
1	20	828627.007	6259698.061	-0.914	-0.405	0.52	2	69.248	255.816	1942-07-01	2011-09-30	3	3.69	3.69	3.69	3.69	3.69	3.69	NA	2	3.69	NA	Cerema	2020-06-23
1	21	828666.04	6259605.997	-0.922	-0.386	0.495	2	69.248	251.823	1942-07-01	2011-09-30	3	3.64	3.64	3.64	3.64	3.64	3.64	NA	2	3.64	NA	Cerema	2020-06-23
1	22	828704.022	6259513.5	-0.934	-0.356	0.455	2	69.248	252.204	1942-07-01	2011-09-30	3	3.64	3.64	3.64	3.64	3.64	3.64	NA	2	3.64	NA	Cerema	2020-06-23
