NAxe	NTrace	Loc	Xsque	Ysque	U	V	Distance	date1	date2	marqueur	incert	leve	product	NomTDC[itdc]	Nbcoup
1	1	Tuto	827519.874	6261215.289	-0.567	-0.824	-1.094	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	2	Tuto	827602.023	6261158.281	-0.584	-0.812	1.536	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	3	Tuto	827682.812	6261099.349	-0.603	-0.798	-2.178	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	4	Tuto	827761.968	6261038.246	-0.669	-0.744	0.887	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	5	Tuto	827824.154	6260959.976	-0.765	-0.644	-20.357	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	6	Tuto	827885.058	6260880.664	-0.795	-0.606	-42.375	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	7	Tuto	827944.867	6260800.523	-0.805	-0.594	-59.342	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	8	Tuto	828004.139	6260719.983	-0.812	-0.584	-78.771	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	9	Tuto	828062.309	6260638.643	-0.817	-0.577	-94.917	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	10	Tuto	828118.998	6260556.264	-0.823	-0.568	-108.299	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	11	Tuto	828175.634	6260473.848	-0.827	-0.562	-120.967	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	12	Tuto	828230.858	6260390.49	-0.83	-0.558	-136.361	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	13	Tuto	828286.5	6260307.467	-0.816	-0.577	-142.037	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	13	Tuto	828286.5	6260307.467	-0.816	-0.577	144.44	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	14	Tuto	828344.043	6260225.682	-0.823	-0.568	-149.209	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	14	Tuto	828344.043	6260225.682	-0.823	-0.568	141.156	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	15	Tuto	828397.033	6260140.895	-0.846	-0.533	-148.488	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	15	Tuto	828397.033	6260140.895	-0.846	-0.533	141.244	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	16	Tuto	828448.796	6260055.335	-0.863	-0.505	-145.642	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	16	Tuto	828448.796	6260055.335	-0.863	-0.505	139.931	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	17	Tuto	828498.527	6259968.634	-0.887	-0.462	-142.671	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	17	Tuto	828498.527	6259968.634	-0.887	-0.462	142.895	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	18	Tuto	828543.313	6259879.224	-0.898	-0.44	-137.587	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	18	Tuto	828543.313	6259879.224	-0.898	-0.44	134.205	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	19	Tuto	828586.643	6259789.125	-0.91	-0.414	-134.616	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	19	Tuto	828586.643	6259789.125	-0.91	-0.414	133.214	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	20	Tuto	828627.166	6259697.703	-0.916	-0.401	-133.901	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	20	Tuto	828627.166	6259697.703	-0.916	-0.401	121.903	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	21	Tuto	828666.191	6259605.636	-0.923	-0.384	-127.519	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	21	Tuto	828666.191	6259605.636	-0.923	-0.384	124.302	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	22	Tuto	828704.162	6259513.134	-0.932	-0.363	-124.072	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	22	Tuto	828704.162	6259513.134	-0.932	-0.363	128.132	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	23	Tuto	828739.808	6259419.703	-0.934	-0.357	-122.709	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	23	Tuto	828739.808	6259419.703	-0.934	-0.357	127.817	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	24	Tuto	828774.926	6259326.072	-0.935	-0.355	-121.814	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	24	Tuto	828774.926	6259326.072	-0.935	-0.355	128.067	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	25	Tuto	828810.949	6259232.79	-0.932	-0.361	-123.015	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	25	Tuto	828810.949	6259232.79	-0.932	-0.361	123.425	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
1	26	Tuto	828846.588	6259139.361	-0.936	-0.352	-125.78	1942	0	3	50	NUM	Cerema	TDC_1942_INGITC_MobiTC	1
1	26	Tuto	828846.588	6259139.361	-0.936	-0.352	117.97	201109	201110	3	10	NUM	Cerema	TDC_2011_INGITC_MobiTC	1
