NAxe	NTrace	Loc	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	13	Tuto	828286.5	6260307.467	-0.816	-0.577	0.765	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	14	Tuto	828344.043	6260225.682	-0.823	-0.568	0.75	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	15	Tuto	828397.033	6260140.895	-0.846	-0.533	0.697	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	16	Tuto	828448.796	6260055.335	-0.863	-0.505	0.657	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	17	Tuto	828498.527	6259968.634	-0.887	-0.462	0.596	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	18	Tuto	828543.313	6259879.224	-0.898	-0.44	0.566	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	19	Tuto	828586.643	6259789.125	-0.91	-0.414	0.532	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	20	Tuto	828627.166	6259697.703	-0.916	-0.401	0.514	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	21	Tuto	828666.191	6259605.636	-0.923	-0.384	0.492	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	22	Tuto	828704.162	6259513.134	-0.932	-0.363	0.464	1	0	0	2011-09-30	2011-09-30	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
