NAxe	NTrace	Loc	Xsque	Ysque	U	V	Angle	NDate	Duree	Amplitude	DateTDCvieux	DateTDCrecent	Marqueur	EPR	AOR	OLS	WLS	RLS	RWLS	JK	K	MDL	DateK	Product	DateProd
1	1	Tuto	827519.874	6261215.289	-0.567	-0.824	1.336	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	2	Tuto	827602.023	6261158.281	-0.584	-0.812	1.29	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	3	Tuto	827682.812	6261099.349	-0.603	-0.798	1.241	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	4	Tuto	827761.968	6261038.246	-0.669	-0.744	1.085	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	5	Tuto	827824.154	6260959.976	-0.765	-0.644	0.876	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	6	Tuto	827885.058	6260880.664	-0.795	-0.606	0.811	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	7	Tuto	827944.867	6260800.523	-0.805	-0.594	0.791	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	8	Tuto	828004.139	6260719.983	-0.812	-0.584	0.775	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	9	Tuto	828062.309	6260638.643	-0.817	-0.577	0.764	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	10	Tuto	828118.998	6260556.264	-0.823	-0.568	0.75	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	11	Tuto	828175.634	6260473.848	-0.827	-0.562	0.741	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	12	Tuto	828230.858	6260390.49	-0.83	-0.558	0.735	1	0	0	1942-07-01	1942-07-01	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Cerema	2020-12-18
1	13	Tuto	828286.5	6260307.467	-0.816	-0.577	0.765	2	69.248	286.477	1942-07-01	2011-09-30	3	4.14	4.14	4.14	4.14	4.14	4.14	NA	2	4.14	NA	Cerema	2020-12-18
1	14	Tuto	828344.043	6260225.682	-0.823	-0.568	0.75	2	69.248	290.365	1942-07-01	2011-09-30	3	4.19	4.19	4.19	4.19	4.19	4.19	NA	2	4.19	NA	Cerema	2020-12-18
1	15	Tuto	828397.033	6260140.895	-0.846	-0.533	0.697	2	69.248	289.732	1942-07-01	2011-09-30	3	4.18	4.18	4.18	4.18	4.18	4.18	NA	2	4.18	NA	Cerema	2020-12-18
1	16	Tuto	828448.796	6260055.335	-0.863	-0.505	0.657	2	69.248	285.573	1942-07-01	2011-09-30	3	4.12	4.12	4.12	4.12	4.12	4.12	NA	2	4.12	NA	Cerema	2020-12-18
1	17	Tuto	828498.527	6259968.634	-0.887	-0.462	0.596	2	69.248	285.566	1942-07-01	2011-09-30	3	4.12	4.12	4.12	4.12	4.12	4.12	NA	2	4.12	NA	Cerema	2020-12-18
1	18	Tuto	828543.313	6259879.224	-0.898	-0.44	0.566	2	69.248	271.792	1942-07-01	2011-09-30	3	3.92	3.92	3.92	3.92	3.92	3.92	NA	2	3.92	NA	Cerema	2020-12-18
